,CodeN,Titulo,Area,Horas,DataInicio,DataFim,code_fina,costo
620,BeP1225,Estudo do impacto das mudanças climáticas na qualidade da água,Engenharia ambiental,1207,15/10/2021,1/1/2022,B,22155
621,AdM3047,Desenvolvimento de tecnologias para produção de materiais de construção sustentáveis,Engenharia civil,1142,24/9/2022,30/1/2023,A,96619
625,Adll2063,Desenvolvimento de tecnologias para a gestão de resíduos de construção civil,Engenharia ambiental,1190,10/2/2021,8/5/2021,A,74931
627,CdM2618,Desenvolvimento de novas técnicas de conservação de solos em áreas de produção agrícola,Engenharia agrícola,1206,6/11/2019,3/1/2020,C,1213
632,CeU2237,Estudo do impacto da urbanização na qualidade da água em rios,Engenharia ambiental,729,14/5/2022,4/6/2022,C,5347
633,AdD1867,Desenvolvimento de tecnologias para a produção de biofertilizantes a partir de resíduos orgânicos,Engenharia agrícola,703,29/1/2019,16/4/2019,A,84471
635,Cdll1296,Desenvolvimento de novas técnicas de produção de alimentos em áreas degradadas,Engenharia agrícola,1404,15/7/2021,19/10/2021,C,1409
637,Cdkk371,Desenvolvimento de tecnologias para a produção de biogás a partir de resíduos orgânicos,Engenharia ambiental,533,6/8/2020,9/12/2020,C,9962
638,CeC992,Estudo da relação entre a poluição atmosférica e a saúde respiratória da população,Toxicologia ambiental,894,16/7/2021,19/11/2021,C,8408
640,BeT4789,Estudo do impacto das mudanças climáticas na produção de alimentos em áreas rurais,Agroecologia,373,11/7/2019,21/11/2019,B,29133
641,Bdtt3415,Desenvolvimento de tecnologias para a produção de energia solar em áreas urbanas,Engenharia elétrica,1038,3/1/2018,18/6/2018,B,13194
642,CeF1341,Estudo da relação entre a gestão de resíduos sólidos e a saúde pública,Toxicologia ambiental,1059,10/2/2018,1/6/2018,C,3375
643,Bdll365,Desenvolvimento de novas técnicas de tratamento de efluentes industriais,Engenharia química,1456,2/5/2020,19/6/2020,B,13781
645,CdU820,Desenvolvimento de tecnologias para a produção de biocombustíveis a partir de resíduos agroindustriais,Bioquímica,1399,3/11/2020,12/4/2021,C,5991
646,AeT64,Estudo da relação entre a biodiversidade e a segurança alimentar,Agroecologia,1188,6/4/2021,27/5/2021,A,77500
648,CeG1051,Estudo do impacto das mudanças climáticas na produção de café no Brasil,Agroecologia,1248,20/3/2022,20/7/2022,C,1353
649,Cduu4447,Desenvolvimento de tecnologias para a gestão de águas subterrâneas em áreas urbanas,Engenharia civil,1136,25/10/2018,7/11/2018,C,7435
650,Aecc622,Estudo da relação entre a degradação das florestas e a ocorrência de desastres naturais,Ecologia de paisagem,839,15/10/2020,19/12/2020,A,75294
651,Admm1306,Desenvolvimento de novas técnicas de produção de alimentos utilizando tecnologia de precisão,Engenharia agrícola,458,16/3/2022,11/8/2022,A,69971
652,CeI2259,Estudo do impacto da urbanização na qualidade da água subterrânea,Engenharia ambiental,1335,30/2/2019,30/3/2019,C,2623
653,Cdjj613,Desenvolvimento de tecnologias para a produção de plásticos biodegradáveis,Engenharia de materiais,802,6/8/2019,18/11/2019,C,8195
656,CeR3392,Estudo do impacto das mudanças climáticas na qualidade da água em áreas urbanas,Engenharia ambiental,1108,25/2/2019,20/5/2019,C,6951
657,AdI2914,Desenvolvimento de tecnologias para a produção de alimentos em ambientes urbanos,Engenharia agrícola,644,8/11/2022,28/2/2023,A,84613
658,CeN3061,Estudo da relação entre a degradação do solo e a qualidade da água,Engenharia ambiental,1256,18/2/2021,6/6/2021,C,5809
659,AdZ3712,Desenvolvimento de novas técnicas de tratamento de água em áreas rurais,Engenharia ambiental,1477,1/2/2018,16/7/2018,A,90376
660,BeZ4029,Estudo do impacto da mineração em áreas rurais na biodiversidade terrestre,Ecologia de paisagem,1484,24/8/2018,29/10/2018,B,18923
661,BdS3214,Desenvolvimento de tecnologias para a produção de bioenergia a partir de resíduos agroindustriais,Engenharia química,1079,28/5/2021,12/10/2021,B,35442
662,AdQ3486,Desenvolvimento de tecnologias para a produção de biocombustíveis a partir de resíduos urbanos,Engenharia química,1063,12/6/2018,21/10/2018,A,62916
663,Aerr3401,Estudo do impacto da mineração em áreas rurais na qualidade da água,Ecologia de paisagem,317,22/5/2021,6/10/2021,A,84496
667,Aeza2999,Estudo do impacto da urbanização na diversidade de espécies vegetais em áreas urbanas,Ecologia de paisagem,1344,1/1/2018,28/3/2018,A,87689
670,CdT2042,Desenvolvimento de tecnologias para a gestão integrada de recursos hídricos em bacias hidrográficas,Engenharia ambiental,1179,29/11/2022,14/1/2023,C,4454
671,Aell2920,Estudo do impacto das mudanças climáticas na distribuição geográfica de espécies animais,Biologia da conservação,1006,3/8/2022,28/12/2022,A,93395
672,CdD3411,Desenvolvimento de novas técnicas de produção de alimentos orgânicos em áreas urbanas,Engenharia agrícola,1453,12/3/2020,16/5/2020,C,3229
673,CeL873,Estudo da relação entre a biodiversidade e a qualidade do ar em áreas urbanas,Ecologia de paisagem,418,26/7/2020,30/12/2020,C,8373
674,Admm1028,Desenvolvimento de tecnologias para a produção de etanol a partir de resíduos da agroindústria,Engenharia química,1296,22/7/2021,30/9/2021,A,73224
676,BdQ3931,Desenvolvimento de novas técnicas de reciclagem de resíduos eletrônicos,Engenharia de materiais,1467,30/3/2019,9/6/2019,B,34914
678,AdX3618,Desenvolvimento de tecnologias para a produção de alimentos em áreas semiáridas,Engenharia agrícola,444,4/7/2022,13/10/2022,A,83117
679,Beff1886,Estudo do impacto da poluição sonora na saúde mental da população em áreas urbanas,Toxicologia ambiental,1134,1/7/2018,29/11/2018,B,37760
680,Adaa4100,Desenvolvimento de novas técnicas de monitoramento de populações de espécies ameaçadas,Biologia da conservação,602,9/3/2022,29/5/2022,A,56135
682,Aduu2686,Desenvolvimento de tecnologias para a produção de energia hidrelétrica em rios de pequeno porte,Engenharia elétrica,469,21/12/2018,13/2/2019,A,75882
683,Ceza4870,Estudo do impacto das mudanças climáticas na ocorrência de incêndios florestais no Brasil,Ecologia de paisagem,442,4/2/2019,5/5/2019,C,8286
684,Cdyy1429,Desenvolvimento de novas técnicas de produção de alimentos em áreas de várzea,Engenharia agrícola,557,17/11/2019,7/2/2020,C,6930
686,Crgg2708,Recolhendo o lixo espacial,Meio ambiente,1160,18/2/2019,29/6/2019,C,9557
687,Aojj2341,O rastreador de mosquitos,Saúde,1173,8/9/2021,5/2/2022,A,73832
688,BoI252,Os segredos do raio-X em 4D,Educação,486,18/8/2020,21/11/2020,B,48093
696,CrZ140,Recolhendo o lixo espacial com inteligência artificial,Tecnologia,1148,9/3/2021,8/6/2021,C,8414
697,BoW771,O rastreador de mosquitos com inteligência artificial,Tecnologia,397,26/6/2022,13/7/2022,B,34834
698,CaE3827,A arte da inteligência artificial para criatividade,Tecnologia,1456,5/9/2021,6/1/2022,C,9630
699,Call3570,A potência do impacto da inteligência artificial na radiologia,Tecnologia,661,30/11/2022,22/4/2023,C,6379
700,Bpww2889,Planejamento de atividade de transporte florestal com sistema multi-agente,Tecnologia,1145,14/2/2021,16/3/2021,B,12802
701,BiH1919,Inteligência artificial na medicina,Tecnologia,731,11/3/2022,26/5/2022,B,16259
702,Aiuu1625,Inteligência artificial é o futuro da humanidade,Tecnologia,435,11/5/2020,1/10/2020,A,59005
703,Brkk3574,Robótica relacionada a inteligência artificial,Tecnologia,418,14/6/2021,5/11/2021,B,39367
704,Ccrr3512,Cateterismo venoso com robôs,Tecnologia,1044,23/4/2018,17/7/2018,C,2066
705,Cgab1305,Gerador de cardápios personalizados com base em algoritmos genéticos,Tecnologia,533,27/11/2018,7/4/2019,C,8410
706,Aiyy658,Inteligência Artificial e sociedade: avanços e riscos,Tecnologia,357,18/9/2019,15/11/2019,A,78724
707,Adza2589,Data Science e Machine Learning,Tecnologia,816,10/3/2019,25/6/2019,A,86130
708,Caqq1225,A arte da inteligência artificial para criatividade,Tecnologia,1098,2/8/2020,11/10/2020,C,3761
709,CpQ62,Previsão da velocidade do vento com modelagem híbrida,Tecnologia,1333,1/10/2019,2/3/2020,C,7071
710,Brxx1339,Redes neurais artificiais na estimativa de composição física e química do solo,Tecnologia,960,17/10/2019,31/3/2020,B,17643
711,Caee4455,A potência do impacto da inteligência artificial na radiologia,Tecnologia,346,25/8/2018,23/11/2018,C,4721
712,ApV276,Planejamento de atividade de transporte florestal com sistema multi-agente,Tecnologia,464,19/1/2018,9/2/2018,A,85395
713,AiG794,Inteligência artificial na medicina,Tecnologia,1204,25/1/2018,2/4/2018,A,68186
714,Aakk3248,Aplicações de inteligência artificial,Tecnologia,1139,23/9/2022,5/12/2022,A,67244
715,Artt3501,Robótica relacionada a inteligência artificial,Tecnologia,1089,22/4/2020,16/6/2020,A,63678
716,Aduu3617,Densidade de semeadura e a produção de aveia com inteligência artificial,Tecnologia,620,10/11/2021,29/2/2022,A,82343
717,AcL1600,Categorização de documentos através de palavra-chave com inteligência artificial,Tecnologia,1421,28/7/2021,21/8/2021,A,76869
718,AdH3858,Detecção de ceratocone através de perfil paquimétrico horizontal com inteligência artificial,Tecnologia,823,9/6/2022,8/8/2022,A,90956
719,CfJ4688,Fatores de risco em seguro de automóveis através da RNA,Tecnologia,1055,12/10/2018,12/1/2019,C,1800
720,Acii3384,Cateterismo venoso com robôs e inteligência artificial,Tecnologia,682,30/1/2018,11/6/2018,A,90136
721,BiQ1320,Irrigação após aspersão através da RNA,Tecnologia,766,17/11/2021,12/12/2021,B,38926
722,AsT4526,Sistema de apoio a decisões através de técnicas de raciocínio baseado em caos com a RNA,Tecnologia,996,29/7/2018,12/10/2018,A,59398
723,Cdff3733,Distribuição de energia por demandas através de técnicas de formação de coalizões com inteligência artificial,Tecnologia,1244,24/11/2019,20/2/2020,C,4704
724,Cmqq1568,Mapeamento sistemático da literatura em aplicações de IA na determinação de parâmetros de resistência,Tecnologia,525,24/2/2020,14/4/2020,C,5789
725,CrX2172,RNA e a predição da qualidade de painéis aglomerados com inteligência artificial,Tecnologia,320,7/11/2018,10/2/2019,C,9605
726,ApW1933,Proposta pedagógica de ficção científica e cibernética com inteligência artificial,Tecnologia,727,7/6/2021,6/8/2021,A,81906
727,ApB2217,Povoamento de eucalipto com utilização de redes neurais artificiais,Tecnologia,392,24/3/2019,24/5/2019,A,82444
728,CiX2049,Inteligência artificial é o futuro da humanidade,Tecnologia,1445,2/8/2020,26/9/2020,C,6896
729,BiC848,Inteligência Artificial e sociedade: avanços e riscos,Tecnologia,1187,25/2/2022,16/4/2022,B,41700
730,CrH4929,Recolhendo o lixo espacial com inteligência artificial,Tecnologia,1065,10/2/2018,26/4/2018,C,1979
731,Codd1799,O rastreador de mosquitos com inteligência artificial,Tecnologia,1498,11/8/2021,10/12/2021,C,1120
732,Cpyy2316,Planejamento de atividade de transporte florestal com sistema multi-agente,Tecnologia,676,12/6/2021,3/10/2021,C,9499
733,Aiuu3773,Inteligência Artificial: 9 projetos open source,Tecnologia,1048,23/12/2018,5/3/2019,A,95847
734,CaS4015,Aumentar a produtividade de colheitas e melhor uso de recursos na agricultura com inteligência artificial,Tecnologia,1299,13/9/2022,30/10/2022,C,7993
735,Caaa3097,A arte da inteligência artificial para criatividade,Tecnologia,487,20/1/2021,30/6/2021,C,8530
736,BeR897,ECS Virtual: design de página na web institucional para a Escola de Comunicação Social da Universidade de São Paulo,Tecnologia,330,8/7/2022,21/9/2022,B,15418
737,Cdcc430,Desenvolvimento de um sistema web para gestão de projetos acadêmicos,Tecnologia,461,22/10/2018,23/11/2018,C,9224
738,Aaee682,Aplicação de técnicas de SEO para otimização de sites,Tecnologia,811,11/11/2019,30/12/2019,A,68470
739,CdX2418,Desenvolvimento de um portal web para divulgação científica,Tecnologia,805,23/11/2022,16/1/2023,C,7047
740,Aakk3026,Análise comparativa de frameworks web para desenvolvimento ágil,Tecnologia,888,21/8/2020,5/10/2020,A,92991
741,CdY4581,Desenvolvimento de um chatbot com inteligência artificial para atendimento ao cliente,Tecnologia,1016,5/1/2019,21/5/2019,C,9161
742,Ccmm2850,Criação de um jogo educativo na web com HTML5 e JavaScript,Tecnologia,897,24/8/2022,21/1/2023,C,4405
743,CdT1520,Desenvolvimento de uma plataforma web para ensino a distância,Tecnologia,977,27/11/2018,7/12/2018,C,1255
744,AaX813,Avaliação da usabilidade e acessibilidade de sites governamentais,Tecnologia,624,2/1/2018,31/3/2018,A,98351
745,CdV4845,Desenvolvimento de uma rede social na web com PHP e MySQL,Tecnologia,1468,30/8/2020,18/1/2021,C,2229
746,CaK3649,Análise de dados para previsão de demanda de energia elétrica,Tecnologia,1335,5/11/2022,24/2/2023,C,6959
747,BaH37,Análise de dados para detecção de fraudes em cartões de crédito,Tecnologia,1359,30/12/2021,30/4/2022,B,42943
748,BaX2333,Análise de dados para segmentação de clientes,Tecnologia,534,9/5/2021,2/8/2021,B,35558
749,Caff1080,Análise de dados para otimização de rotas de transporte,Tecnologia,1137,5/1/2022,28/5/2022,C,2465
750,Aass3700,Análise de dados para avaliação de desempenho escolar,Tecnologia,1038,20/10/2022,27/3/2023,A,62431
751,AaO4901,Análise de dados para recomendação de produtos online,Tecnologia,1404,1/7/2021,14/10/2021,A,74851
752,AaZ3916,Análise de dados para identificação de padrões climáticos,Tecnologia,364,22/5/2020,3/8/2020,A,95702
753,BaI2941,Análise de dados para classificação de imagens médicas,Tecnologia,749,8/11/2021,8/1/2022,B,10246
754,AaM2343,Análise de dados para análise de sentimentos em redes sociais,Tecnologia,612,16/1/2022,20/6/2022,A,90585
755,Baff3807,Análise de dados para geração de textos automáticos,Tecnologia,463,28/6/2019,6/7/2019,B,20596
756,AeK4546,Entrega de pizza em carro autônomo,Tecnologia,619,22/6/2020,1/10/2020,A,78450
757,AfQ1736,Fast-food automatizado,Tecnologia,1398,7/8/2021,9/1/2022,A,82539
758,Baoo3478,Abelha robotizada,Tecnologia,397,27/9/2021,26/12/2021,B,44944
760,Aaxx2062,A revolução dos ossos,Tecnologia,491,5/6/2021,1/8/2021,A,58811
761,CpW538,Pato robô,Tecnologia,816,15/3/2022,1/4/2022,C,9744
762,Agvv2994,Gatos robóticos para idosos,Tecnologia,348,9/8/2022,18/1/2023,A,56499
763,Brtt548,Robótica relacionada a inteligência artificial,Tecnologia,1313,25/9/2021,26/12/2021,B,37962
764,Acss2231,Criação de um jogo educativo na web com HTML5 e JavaScript,Tecnologia,1500,8/1/2018,16/6/2018,A,68333
765,BdJ1940,Desenvolvimento de um sistema web para gestão de projetos acadêmicos,Tecnologia,1409,11/3/2019,14/5/2019,B,37433
766,Arvv3973,Robôs para limpeza de lixo espacial,Tecnologia,1288,9/10/2020,20/3/2021,A,94990
767,Crrr3819,Robôs para atendimento ao cliente em restaurantes,Tecnologia,438,14/9/2021,1/12/2021,C,9175
768,Bree2524,Robôs para polinização de plantas,Tecnologia,518,26/5/2022,21/7/2022,B,44989
769,BrC2347,Robôs para cirurgias delicadas,Tecnologia,549,12/3/2022,11/5/2022,B,12080
770,ArV1090,Robôs para reconstrução óssea,Tecnologia,989,17/6/2022,14/8/2022,A,91474
771,Crvv151,Robôs para controle de pragas,Tecnologia,1298,2/9/2021,13/2/2022,C,6916
772,ArX2166,Robôs para companhia de idosos,Tecnologia,1426,28/5/2019,13/6/2019,A,58729
773,Crcc4655,Robôs para inteligência artificial,Tecnologia,956,30/8/2019,15/9/2019,C,6819
774,Cruu2967,Robôs para jogos educativos na web,Tecnologia,462,4/9/2018,18/1/2019,C,3449
775,ArD3479,Robôs para gestão de projetos acadêmicos,Tecnologia,1321,9/9/2022,21/10/2022,A,89671
776,CeY4561,Entrega de pizza em carro autônomo,Tecnologia ,865,18/3/2019,27/8/2019,C,2307
777,Bfll3486,Fast-food automatizado,Tecnologia ,676,7/9/2022,6/2/2023,B,31970
778,Aass1038,Abelha robotizada,Tecnologia ,1331,27/5/2018,30/6/2018,A,88651
780,BaY3190,A revolução dos ossos,Tecnologia ,1168,25/2/2020,8/7/2020,B,18062
781,Cpcc3698,Pato robô,Tecnologia ,1285,2/2/2022,20/5/2022,C,5716
782,Agmm4288,Gatos robóticos para idosos,Tecnologia ,417,30/3/2021,6/6/2021,A,76199
783,Croo4194,Robótica relacionada a inteligência artificial,Tecnologia ,669,8/5/2019,17/10/2019,C,9941
784,AcO1056,Criação de um jogo educativo na web com HTML5 e JavaScript,Tecnologia ,543,20/7/2019,3/9/2019,A,62452
785,Adss4703,Desenvolvimento de um sistema web para gestão de projetos acadêmicos,Tecnologia ,503,5/11/2018,16/3/2019,A,69348
786,Cdoo1957,Design de página na web institucional para a TOTI Diversidade,Tecnologia ,887,20/12/2018,7/2/2019,C,2713
787,AsO2974,Sistema web para gestão de projetos acadêmicos,Tecnologia ,467,23/4/2021,24/6/2021,A,70074
788,Atii4631,Técnicas de SEO para otimização de sites,Tecnologia ,532,23/4/2018,24/6/2018,A,79184
789,BpL2982,Portal web para divulgação científica,Tecnologia ,881,25/1/2020,16/6/2020,B,41792
790,Acoo4337,Comparação de frameworks web para desenvolvimento ágil,Tecnologia ,1082,15/6/2020,5/8/2020,A,73728
791,Acab3342,Chatbot com inteligência artificial para atendimento ao cliente,Tecnologia ,1114,7/2/2019,1/6/2019,A,58346
792,CjR2010,Jogo educativo na web com HTML5 e JavaScript,Tecnologia ,940,22/9/2019,5/1/2020,C,9552
793,BpK209,Plataforma web para ensino a distância,Tecnologia ,1293,26/6/2021,21/7/2021,B,19165
794,Cugg1561,Usabilidade e acessibilidade de sites governamentais,Tecnologia ,363,5/4/2021,7/5/2021,C,3679
795,Crss4418,Rede social na web com PHP e MySQL,Tecnologia ,841,26/1/2022,24/5/2022,C,6699
796,Beff3551,Estudo do Impacto das Mudanças Climáticas no Ecossistema Aquático da Amazônia,Ecologia,1078,26/8/2021,1/9/2021,B,33474
797,Bdjj82,Desenvolvimento de Sistemas de Energia Sustentável para Comunidades Rurais,Energia,1031,29/10/2020,6/1/2021,B,37867
801,AeC4250,Estudo da Relação entre Hormônios e Câncer de Mama,Biologia Molecular,764,28/5/2020,27/8/2020,A,54533
802,Addd4095,Desenvolvimento de Novas Medicações para o Tratamento de Doenças Cardiovasculares,Farmacologia,1181,5/3/2018,12/4/2018,A,76510
804,Caff2616,Avaliação do Impacto da Agricultura Convencional na Qualidade do Solo,Agricultura Sustentável,529,24/11/2018,15/1/2019,C,8527
806,CmV4004,Mapeamento de Áreas Geológicas de Alto Risco no Nordeste do Brasil,Geologia,1205,10/6/2021,21/8/2021,C,7100
808,AcR4744,Conscientização sobre o consumo consciente e produção responsável em comunidades migrantes,Consumo Consciente,816,28/12/2022,23/2/2023,A,52156
809,CaO4464,Ação contra a mudança climática através do desenvolvimento de tecnologias verdes em áreas com alta concentração de migrantes,Mudança Climática,940,20/8/2018,12/11/2018,C,9642
810,BcK212,Conservação da biodiversidade marinha e costeira em áreas com alta concentração de migrantes,Conservação Marinha,783,2/11/2020,8/1/2021,B,23096
811,CcA1314,Conservação da biodiversidade terrestre e florestal em áreas com alta concentração de migrantes,Conservação Terrestre,658,8/8/2019,7/1/2020,C,4443
812,ApO2227,Promoção da justiça social e acesso à justiça para migrantes,Justiça Social,737,15/2/2019,13/3/2019,A,73684
816,Apff1142,Promoção da saúde mental em comunidades migrantes,Saúde Mental,1233,23/7/2021,19/8/2021,A,62595
819,Cgee247,Garantia de acesso à moradia digna para migrantes,Moradia Digna,325,27/6/2022,4/7/2022,C,9956
821,AiF831,Inclusão de migrantes idosos no mercado de trabalho,Inclusão no Mercado de Trabalho,1071,15/11/2018,22/4/2019,A,54365
827,Bchh4086,Conservação da biodiversidade marinha e desenvolvimento do turismo sustentável em áreas com alta concentração de migrantes,Turismo Sustentável,950,21/5/2018,27/10/2018,B,45776
828,AcX4594,Conservação da biodiversidade terrestre e desenvolvimento do ecoturismo em áreas com alta concentração de migrantes,Ecoturismo,1137,6/10/2020,18/12/2020,A,78004
831,CdY1363,Desenvolvimento de programas para a inclusão social de comunidades quilombolas,Inclusão,814,21/12/2019,25/2/2020,C,4885
833,ApQ2347,Promoção da saúde e prevenção de doenças em comunidades quilombolas,Saúde Pública,1256,12/7/2022,25/9/2022,A,62375
834,Cett972,Educação inclusiva para crianças quilombolas,Educação,774,25/3/2022,29/6/2022,C,3557
835,CpO2768,Promoção da igualdade de gênero e empoderamento das mulheres quilombolas,Inclusão,889,26/12/2021,2/3/2022,C,5000
836,Agza3047,Garantia de acesso à água potável e saneamento básico para comunidades quilombolas,Saneamento Básico,743,24/9/2022,23/1/2023,A,77502
837,Adss4312,Desenvolvimento de fontes de energia renovável e acessível para comunidades quilombolas,Energia Renovável,1291,19/7/2022,14/12/2022,A,79635
838,AiL269,Inclusão de jovens quilombolas no mercado de trabalho através do empreendedorismo,Empreendedorismo,586,2/6/2022,21/10/2022,A,96406
839,Adee4661,Desenvolvimento de tecnologias inovadoras para a indústria sustentável em áreas quilombolas,Indústria Sustentável,409,28/6/2020,28/11/2020,A,90060
840,Brff230,Redução das desigualdades sociais entre quilombolas e não-quilombolas através de políticas públicas,Políticas Públicas,1404,19/8/2018,24/12/2018,B,31990
841,BpP3072,Planejamento urbano para cidades mais inclusivas para comunidades quilombolas,Planejamento Urbano,929,30/12/2022,9/4/2023,B,42429
842,CcV2506,Conscientização sobre o consumo consciente e produção responsável em comunidades quilombolas,Consumo Consciente,1246,16/3/2020,26/6/2020,C,4272
843,Aaff1733,Ação contra a mudança climática através do desenvolvimento de tecnologias verdes em áreas quilombolas,Mudança Climática,1292,25/7/2020,5/9/2020,A,68791
844,AcY1670,Conservação da biodiversidade marinha e costeira em áreas quilombolas,Conservação Marinha,1297,25/7/2018,26/12/2018,A,57919
845,Bcnn2104,Conservação da biodiversidade terrestre e florestal em áreas quilombolas,Conservação Terrestre,760,19/1/2022,26/4/2022,B,31609
846,CpF799,Promoção da justiça social e acesso à justiça para comunidades quilombolas,Justiça Social,1224,6/7/2020,20/8/2020,C,6437
847,Cdxx1869,Desenvolvimento de parcerias para a promoção do desenvolvimento sustentável em áreas quilombolas,Políticas Públicas,1249,9/9/2021,18/11/2021,C,1341
849,Bajj4491,Análise da relação entre discriminação e saúde mental em pessoas LGBTQIA+,Saúde Mental,1142,5/4/2020,17/7/2020,B,45885
850,ApW3491,Promoção da saúde e prevenção de doenças em comunidades LGBTQIA+,Saúde Pública,1083,13/7/2022,28/12/2022,A,83530
851,Ceww740,Educação inclusiva para jovens LGBTQIA+,Educação,1353,6/1/2022,4/5/2022,C,4737
852,BpW3543,Promoção da igualdade de gênero e combate à discriminação contra pessoas LGBTQIA+,Inclusão,418,30/1/2020,2/3/2020,B,27873
853,BgO3949,Garantia de acesso à moradia digna para pessoas LGBTQIA+,Moradia Digna,707,1/11/2018,2/12/2018,B,29174
854,Cdjj1872,Desenvolvimento de tecnologias para a inclusão social de pessoas LGBTQIA+,Inclusão,945,6/8/2021,2/11/2021,C,5405
855,AiP488,Inclusão de pessoas LGBTQIA+ no mercado de trabalho,Inclusão,739,17/6/2021,27/10/2021,A,81745
856,AdL884,Desenvolvimento de políticas públicas para a promoção dos direitos das pessoas LGBTQIA+,Políticas Públicas,366,16/5/2021,23/6/2021,A,91000
857,CrW4581,Redução das desigualdades sociais entre pessoas LGBTQIA+ e não-LGBTQIA+ através de políticas públicas,Políticas Públicas,1236,27/6/2019,3/10/2019,C,8555
858,Cphh2778,Planejamento urbano para cidades mais inclusivas para pessoas LGBTQIA+,Planejamento Urbano,1151,29/12/2020,15/4/2021,C,5440
860,Apgg1991,Promoção da justiça social e combate à discriminação contra pessoas LGBTQIA+,Justiça Social,1315,29/4/2022,26/9/2022,A,93037
861,AdK2152,Desenvolvimento de parcerias para a promoção dos direitos das pessoas LGBTQIA+,Inclusão,646,25/12/2022,30/3/2023,A,50483
863,ApH4648,Promoção da saúde sexual e reprodutiva em comunidades LGBTQIA+,Saúde,654,26/8/2021,20/9/2021,A,63222
864,CeM1925,Educação em direitos humanos para a promoção da igualdade de gênero e diversidade sexual,Educação,544,16/4/2020,1/7/2020,C,1754
866,Cdyy3817,Desenvolvimento de programas para a integração cultural de migrantes LGBTQIA+,Inclusão,1078,8/6/2021,24/8/2021,C,5335
867,Caee437,Análise da relação entre migração e discriminação contra pessoas LGBTQIA+,Inclusão,1305,10/4/2019,5/7/2019,C,1547
868,Apvv2993,Promoção da saúde mental em comunidades migrantes LGBTQIA+,Saúde Mental,722,2/6/2019,21/8/2019,A,80685
869,Ceoo2222,Educação empreendedora para jovens migrantes LGBTQIA+,Educação ,1136,11/1/2020,14/6/2020,C,3436
870,Bpss2847,Promoção da igualdade de gênero e combate à violência contra a mulher migrante LGBTQIA+,Inclusão,1018,3/7/2019,22/8/2019,B,28437
871,Cgoo809,Garantia de acesso à água potável e saneamento básico para comunidades migrantes LGBTQIA+,Saneamento Básico,409,15/4/2020,25/7/2020,C,9333
872,AdO4414,Desenvolvimento de fontes de energia renovável e acessível para comunidades migrantes LGBTQIA+,Energia Renovável,927,24/4/2019,17/8/2019,A,87424
873,CiE2424,Inclusão de migrantes idosos LGBTQIA+ no mercado de trabalho,Inclusão no Mercado de Trabalho,429,6/1/2020,25/3/2020,C,1646
874,Bdgg4360,Desenvolvimento de tecnologias inovadoras para a indústria 4.0 em áreas com alta concentração de migrantes LGBTQIA+,Tecnologia,1003,2/8/2018,6/1/2019,B,20837
875,Crnn2501,Redução das desigualdades regionais entre áreas com alta e baixa concentração de migrantes LGBTQIA+ através de políticas públicas,Inclusão,826,21/3/2022,8/8/2022,C,6676
876,ApJ2976,Planejamento urbano para cidades inteligentes e inclusivas para migrantes LGBTQIA+,Tecnologia,791,27/5/2019,6/9/2019,A,89864
879,BpE3056,Promoção da saúde e prevenção de doenças em crianças,Saúde,486,26/4/2022,2/8/2022,B,29720
880,AeF3150,Educação inclusiva para crianças em situação de vulnerabilidade,Educação,1329,5/7/2022,1/12/2022,A,59460
881,BpY349,Promoção da igualdade de gênero e combate à discriminação contra crianças,Inclusão,550,27/6/2018,31/7/2018,B,28037
882,BgN615,Garantia de acesso à educação de qualidade para todas as crianças,Educação,308,16/11/2022,14/1/2023,B,21755
883,CdQ3695,Desenvolvimento de programas para a prevenção do trabalho infantil,Políticas Públicas,1408,13/9/2021,1/2/2022,C,6814
884,BiY4723,Inclusão de crianças com deficiência na escola e na sociedade,Inclusão,1200,7/12/2019,28/4/2020,B,17482
885,CdS840,Desenvolvimento de políticas públicas para a promoção dos direitos das crianças,Políticas Públicas,1080,6/6/2019,28/8/2019,C,3022
886,CrA4109,Redução das desigualdades sociais entre crianças através de políticas públicas,Políticas Públicas,1213,16/7/2021,26/12/2021,C,3219
1,BmS366,Mapeamento da cobertura vegetacional da Amazônia,Ecologia,904,24/6/2020,29/9/2020,B,48128
2,BaK457,Análise das mudanças climáticas na Antártica,Climatologia,524,23/11/2021,28/3/2022,B,41540
3,BiA4259,Impacto da poluição atmosférica na saúde humana,Saúde Pública,909,26/2/2019,23/6/2019,B,11614
4,Bdxx2349,Desenvolvimento de materiais alternativos para painéis solares,Engenharia de Materiais,323,4/1/2018,26/2/2018,B,32752
7,BdW2228,Desenvolvimento de novas tecnologias para o tratamento de câncer,Oncologia,654,12/12/2021,24/4/2022,B,23918
8,CdJ4445,Desenvolvimento de vacinas para doenças tropicais,Imunologia,727,30/9/2018,18/11/2018,C,8865
9,BdG4284,Desenvolvimento de medicamentos para combate a Alzheimer,Neurociência,586,9/7/2019,17/9/2019,B,33793
14,Bevv4996,Estudo da evolução da diversidade genética em populações de plantas,Genética,1369,27/11/2021,11/12/2021,B,33128
16,AeJ2753,Estudo do impacto de atividades econômicas em comunidades tradicionais,Antropologia,1305,29/11/2018,4/4/2019,A,62532
18,CeN2289,Estudo das mudanças na biodiversidade devido ao aquecimento global,Ecologia,1494,27/7/2021,21/10/2021,C,1294
